Year ,Fleet 1 ,Fleet 2 ,Fleet 3 ,Fleet 4 ,Fleet 5 ,Fleet 6 ,Fleet 7 ,Fleet 8 
1956,,21,,,,,,
1957,,725,,,,,,
1958,,1047,,,,,,
1959,,3015,,,1700,,,
1960,,8673,,,1802,,,
1961,,8893,,,1872,,,
1962,,16422,,,2549,,,
1963,,15104,,,2281,,,
1964,115,23738,,,2124,22,,
1965,346,28309,,,1190,,,
1966,5275,21023,,,998,,,
1967,7412,7719,,,752,,,
1968,12489,11857,,,1304,38,,
1969,21732,6331,,,430,,,
1970,17255,,5898,,500,,,
1971,21323,,3218,,344,,,
1972,30640,,2087,,352,110,,
1973,25888,,277,,1969,100,,
1974,19079,,109,,365,163,,
1975,16614,,306,,536,151,,
1976,17976,,,73,1129,197,,
1977,19858,,,105,1162,330,,
1978,21837,,,135,867,256,,
1979,21218,,,105,666,651,,
1980,19400,,,333,1024,2189,,
1981,18869,,,558,996,3594,,23
1982,23363,,,569,1114,4391,,235
1983,10101,,,162,1360,2922,,373
1984,8237,,,224,1061,4551,,526
1985,20154,,,623,517,8272,,1531
1986,27913,,,739,1263,7111,,262
1987,29173,,,357,1733,9189,,178
1988,20926,,,405,816,7926,,100
1989,18440,,,450,788,7450,,83
1990,20461,,,587,638,6973,,55
1991,19914,,,804,1333,3930,,34
1992,23068,,,1001,3374,9089,,31
1993,19420,,,748,3753,8863,,28
1994,22576,,,923,1684,10100,,16
1995,18354,,,695,941,7513,,49
1996,18974,,,785,1165,7426,,75
1997,18169,,,673,769,8354,,56
1998,16113,,,487,3098,10787,,110
1999,17391,,,1560,1651,,6965,90
2000,17239,,,3041,4027,,6989,90
2001,15834,,,5235,6834,,10757,135
2002,17321,,,1142,3097,,10074,111
2003,17356,,,534,2641,,7364,108
2004,13325,,,703,606,,7789,120
2005,10772,,,1446,727,,5905,32
2006,12359,,,2247,3041,,6712,93
2007,13202,,,1313,538,,5181,34
2008,10054,,,2633,478,,5640,53
2009,9052,,,2470,493,,10133,97
2010,11105,,,1693,649,,5721,24
2011,13102,,,1888,1417,,7677,37
